context,answer,question
"Im Jahr 1891 konnte der schottische Chemiker James Dewar ausreichend flüssigen Sauerstoff für dessen Erforschung produzieren. Das erste wirtschaftlich umsetzbare Verfahren zur Herstellung von flüssigem Sauerstoff wurde unabhängig voneinander 1895 vom deutschen Ingenieur Carl von Linde und vom britischen Ingenieur William Hampson entwickelt. Beide Männer reduzierten die Temperatur der Luft bis diese flüssig wurde und destillierten dann die einzelnen darin enthaltenen Gase, indem sie eines nach dem anderen abdampften. Später, im Jahr 1901 wurde zum ersten Mal das Autogenschweißen demonstriert, bei dem eine Mischung aus Acetylen und komprimiertem O
2 verbrannt wird. Diese Methode zum Schweißen und Schneiden von Metallen wurde später weitverbreitet.",1891,In welchem Jahr experimentierte Dewar mit flüssigem Sauerstoff?
"Im Jahr 1891 konnte der schottische Chemiker James Dewar ausreichend flüssigen Sauerstoff für dessen Erforschung produzieren. Das erste wirtschaftlich umsetzbare Verfahren zur Herstellung von flüssigem Sauerstoff wurde unabhängig voneinander 1895 vom deutschen Ingenieur Carl von Linde und vom britischen Ingenieur William Hampson entwickelt. Beide Männer reduzierten die Temperatur der Luft bis diese flüssig wurde und destillierten dann die einzelnen darin enthaltenen Gase, indem sie eines nach dem anderen abdampften. Später, im Jahr 1901 wurde zum ersten Mal das Autogenschweißen demonstriert, bei dem eine Mischung aus Acetylen und komprimiertem O
2 verbrannt wird. Diese Methode zum Schweißen und Schneiden von Metallen wurde später weitverbreitet.",1895,Wann wurde flüssiger Sauerstoff für die kommerzielle Nutzung entwickelt?
"Im Jahr 1891 konnte der schottische Chemiker James Dewar ausreichend flüssigen Sauerstoff für dessen Erforschung produzieren. Das erste wirtschaftlich umsetzbare Verfahren zur Herstellung von flüssigem Sauerstoff wurde unabhängig voneinander 1895 vom deutschen Ingenieur Carl von Linde und vom britischen Ingenieur William Hampson entwickelt. Beide Männer reduzierten die Temperatur der Luft bis diese flüssig wurde und destillierten dann die einzelnen darin enthaltenen Gase, indem sie eines nach dem anderen abdampften. Später, im Jahr 1901 wurde zum ersten Mal das Autogenschweißen demonstriert, bei dem eine Mischung aus Acetylen und komprimiertem O
2 verbrannt wird. Diese Methode zum Schweißen und Schneiden von Metallen wurde später weitverbreitet.",1901,Welches Schweißverfahren wurde 1901 demonstriert?
"Paläoklimatologen messen das Verhältnis von Sauerstoff-18 zu Sauerstoff-16 in Gehäusen und Skeletten von Meereslebewesen, um zu bestimmen, wie das Klima vor Millionen von Jahren aussah (siehe Zyklus des Sauerstoffisotopenverhältnis). Meerwasser-Moleküle, die das leichtere Isotop, Sauerstoff-16, enthalten verdunsten etwas langsamer als Wassermoleküle, die das 12 % schwerere Sauerstoff-18 enthalten; dieser Unterschied ist bei niedrigeren Temperaturen größer. Während Perioden mit niedrigeren globalen Temperaturen enthalten Schnee und Regen aus diesem verdunsteten Wasser typischerweise mehr Sauerstoff-16 und das zurückbleibende Meerwasser enthält mehr Sauerstoff-18. Meereslebewesen binden dann mehr Sauerstoff-18 in ihre Skelette und Gehäuse ein, als sie es bei einem wärmeren Klima tun würden. Paläoklimatologen bestimmen dieses Verhältnis außerdem direkt anhand der Wassermoleküle in Eiskernproben, die bis zu mehrere Hunderttausend Jahre alt sind.",Paläoklimatologen,"Welche Gruppe von Wissenschaftlern bemüht sich darum, den Sauerstoffgehalt von Meereslebewesen zu bestimmen?"
"Paläoklimatologen messen das Verhältnis von Sauerstoff-18 zu Sauerstoff-16 in Gehäusen und Skeletten von Meereslebewesen, um zu bestimmen, wie das Klima vor Millionen von Jahren aussah (siehe Zyklus des Sauerstoffisotopenverhältnis). Meerwasser-Moleküle, die das leichtere Isotop, Sauerstoff-16, enthalten verdunsten etwas langsamer als Wassermoleküle, die das 12 % schwerere Sauerstoff-18 enthalten; dieser Unterschied ist bei niedrigeren Temperaturen größer. Während Perioden mit niedrigeren globalen Temperaturen enthalten Schnee und Regen aus diesem verdunsteten Wasser typischerweise mehr Sauerstoff-16 und das zurückbleibende Meerwasser enthält mehr Sauerstoff-18. Meereslebewesen binden dann mehr Sauerstoff-18 in ihre Skelette und Gehäuse ein, als sie es bei einem wärmeren Klima tun würden. Paläoklimatologen bestimmen dieses Verhältnis außerdem direkt anhand der Wassermoleküle in Eiskernproben, die bis zu mehrere Hunderttausend Jahre alt sind.",Klima,Über welche Eigenschaft des Wetters wollen Paläoklimatologen Daten gewinnen?
"Paläoklimatologen messen das Verhältnis von Sauerstoff-18 zu Sauerstoff-16 in Gehäusen und Skeletten von Meereslebewesen, um zu bestimmen, wie das Klima vor Millionen von Jahren aussah (siehe Zyklus des Sauerstoffisotopenverhältnis). Meerwasser-Moleküle, die das leichtere Isotop, Sauerstoff-16, enthalten verdunsten etwas langsamer als Wassermoleküle, die das 12 % schwerere Sauerstoff-18 enthalten; dieser Unterschied ist bei niedrigeren Temperaturen größer. Während Perioden mit niedrigeren globalen Temperaturen enthalten Schnee und Regen aus diesem verdunsteten Wasser typischerweise mehr Sauerstoff-16 und das zurückbleibende Meerwasser enthält mehr Sauerstoff-18. Meereslebewesen binden dann mehr Sauerstoff-18 in ihre Skelette und Gehäuse ein, als sie es bei einem wärmeren Klima tun würden. Paläoklimatologen bestimmen dieses Verhältnis außerdem direkt anhand der Wassermoleküle in Eiskernproben, die bis zu mehrere Hunderttausend Jahre alt sind.",12 %,Wie viel schwerer ist Sauerstoff-18 als Sauerstoff-16?
"Paläoklimatologen messen das Verhältnis von Sauerstoff-18 zu Sauerstoff-16 in Gehäusen und Skeletten von Meereslebewesen, um zu bestimmen, wie das Klima vor Millionen von Jahren aussah (siehe Zyklus des Sauerstoffisotopenverhältnis). Meerwasser-Moleküle, die das leichtere Isotop, Sauerstoff-16, enthalten verdunsten etwas langsamer als Wassermoleküle, die das 12 % schwerere Sauerstoff-18 enthalten; dieser Unterschied ist bei niedrigeren Temperaturen größer. Während Perioden mit niedrigeren globalen Temperaturen enthalten Schnee und Regen aus diesem verdunsteten Wasser typischerweise mehr Sauerstoff-16 und das zurückbleibende Meerwasser enthält mehr Sauerstoff-18. Meereslebewesen binden dann mehr Sauerstoff-18 in ihre Skelette und Gehäuse ein, als sie es bei einem wärmeren Klima tun würden. Paläoklimatologen bestimmen dieses Verhältnis außerdem direkt anhand der Wassermoleküle in Eiskernproben, die bis zu mehrere Hunderttausend Jahre alt sind.",Sauerstoff-18,Welche Form von Sauerstoff nehmen Meereslebewesen bei kühleren klimatischen Bedingungen in größeren Mengen auf?
"Paläoklimatologen messen das Verhältnis von Sauerstoff-18 zu Sauerstoff-16 in Gehäusen und Skeletten von Meereslebewesen, um zu bestimmen, wie das Klima vor Millionen von Jahren aussah (siehe Zyklus des Sauerstoffisotopenverhältnis). Meerwasser-Moleküle, die das leichtere Isotop, Sauerstoff-16, enthalten verdunsten etwas langsamer als Wassermoleküle, die das 12 % schwerere Sauerstoff-18 enthalten; dieser Unterschied ist bei niedrigeren Temperaturen größer. Während Perioden mit niedrigeren globalen Temperaturen enthalten Schnee und Regen aus diesem verdunsteten Wasser typischerweise mehr Sauerstoff-16 und das zurückbleibende Meerwasser enthält mehr Sauerstoff-18. Meereslebewesen binden dann mehr Sauerstoff-18 in ihre Skelette und Gehäuse ein, als sie es bei einem wärmeren Klima tun würden. Paläoklimatologen bestimmen dieses Verhältnis außerdem direkt anhand der Wassermoleküle in Eiskernproben, die bis zu mehrere Hunderttausend Jahre alt sind.",niedrigeren globalen Temperaturen,Bei welcher Art von Klima findet sich im Meerwasser mehr Sauerstoff-18?
"Sauerstoff weist zwei spektrophotometrische Absorptionsbande mit Spitzen bei den Wellenlängen 687 und 760 nm auf. Manche Wissenschaftler in der Fernerkundung haben vorgeschlagen, die Messung der Strahlung in diesen Banden, die von Vegetation stammt, zu verwenden, um den Gesundheitszustand von Pflanzen von einer Satellitenplattform aus zu bewerten. Dieser Ansatz nutzt die Tatsache, dass es in diesen Banden möglich ist, die Reflexion von der viel schwächeren Fluoreszenz der Vegetation zu unterscheiden. Die Messung ist wegen des geringen Signal-Rausch-Verhältnisses und der physischen Struktur von Vegetation technisch schwierig; es wurde allerdings eine mögliche Methode zur Überwachung des Kohlenstoffkreislaufs durch Satelliten auf globaler Ebene vorgeschlagen.",687 und 760 nm,Bei welcher Wellenlänge erreichen die spektrophotometrische Bande ihrer Höhepunkte?
"Sauerstoff weist zwei spektrophotometrische Absorptionsbande mit Spitzen bei den Wellenlängen 687 und 760 nm auf. Manche Wissenschaftler in der Fernerkundung haben vorgeschlagen, die Messung der Strahlung in diesen Banden, die von Vegetation stammt, zu verwenden, um den Gesundheitszustand von Pflanzen von einer Satellitenplattform aus zu bewerten. Dieser Ansatz nutzt die Tatsache, dass es in diesen Banden möglich ist, die Reflexion von der viel schwächeren Fluoreszenz der Vegetation zu unterscheiden. Die Messung ist wegen des geringen Signal-Rausch-Verhältnisses und der physischen Struktur von Vegetation technisch schwierig; es wurde allerdings eine mögliche Methode zur Überwachung des Kohlenstoffkreislaufs durch Satelliten auf globaler Ebene vorgeschlagen.",Kohlenstoffkreislaufs,Zur Überwachung welchen Ereignisses würde die Messung der Strahlung von Vegetation Daten liefern?
"Sauerstoff weist zwei spektrophotometrische Absorptionsbande mit Spitzen bei den Wellenlängen 687 und 760 nm auf. Manche Wissenschaftler in der Fernerkundung haben vorgeschlagen, die Messung der Strahlung in diesen Banden, die von Vegetation stammt, zu verwenden, um den Gesundheitszustand von Pflanzen von einer Satellitenplattform aus zu bewerten. Dieser Ansatz nutzt die Tatsache, dass es in diesen Banden möglich ist, die Reflexion von der viel schwächeren Fluoreszenz der Vegetation zu unterscheiden. Die Messung ist wegen des geringen Signal-Rausch-Verhältnisses und der physischen Struktur von Vegetation technisch schwierig; es wurde allerdings eine mögliche Methode zur Überwachung des Kohlenstoffkreislaufs durch Satelliten auf globaler Ebene vorgeschlagen.",Satellitenplattform,Von wo aus würden Wissenschaftler gerne die Strahlung der Vegetation messen?
"Sauerstoff weist zwei spektrophotometrische Absorptionsbande mit Spitzen bei den Wellenlängen 687 und 760 nm auf. Manche Wissenschaftler in der Fernerkundung haben vorgeschlagen, die Messung der Strahlung in diesen Banden, die von Vegetation stammt, zu verwenden, um den Gesundheitszustand von Pflanzen von einer Satellitenplattform aus zu bewerten. Dieser Ansatz nutzt die Tatsache, dass es in diesen Banden möglich ist, die Reflexion von der viel schwächeren Fluoreszenz der Vegetation zu unterscheiden. Die Messung ist wegen des geringen Signal-Rausch-Verhältnisses und der physischen Struktur von Vegetation technisch schwierig; es wurde allerdings eine mögliche Methode zur Überwachung des Kohlenstoffkreislaufs durch Satelliten auf globaler Ebene vorgeschlagen.",globaler,Auf welcher Ebene würden Wissenschaftler Messungen der Vegetation zeigen?
"Sauerstoff weist zwei spektrophotometrische Absorptionsbande mit Spitzen bei den Wellenlängen 687 und 760 nm auf. Manche Wissenschaftler in der Fernerkundung haben vorgeschlagen, die Messung der Strahlung in diesen Banden, die von Vegetation stammt, zu verwenden, um den Gesundheitszustand von Pflanzen von einer Satellitenplattform aus zu bewerten. Dieser Ansatz nutzt die Tatsache, dass es in diesen Banden möglich ist, die Reflexion von der viel schwächeren Fluoreszenz der Vegetation zu unterscheiden. Die Messung ist wegen des geringen Signal-Rausch-Verhältnisses und der physischen Struktur von Vegetation technisch schwierig; es wurde allerdings eine mögliche Methode zur Überwachung des Kohlenstoffkreislaufs durch Satelliten auf globaler Ebene vorgeschlagen.",Fernerkundung,Welche Art von Erkundung nutzen Wissenschaftler gerne zur Messung globaler Strahlung?
"Die hyperbare (Hochdruck-) Medizin verwendet besondere Sauerstoffkammern, um den Partialdruck von O
2 in der Umgebung des Patienten und, falls nötig, der des medizinischen Personals zu erhöhen. Kohlenmonoxidvergiftungen, Gasbrände und die Dekompressionskrankheit werden manchmal mithilfe dieser Geräte behandelt. Eine erhöhte O
2-Konzentration in den Lungen hilft dabei, das Kohlenmonoxid von der Hämgruppe des Hämoglobin zu verdrängen. Sauerstoff-Gas ist für die anaeroben Bakterien, die Gasbrände verursachen, giftig, sodass eine Steigerung dessen Partialdrucks deren Beseitigung unterstützt. Die Dekompressionskrankheit tritt bei Tauchern auf, die nach einem Tauchgang zu schnell dekomprimieren, was zur Entstehung von Spülgasblasen in ihrem Blut führt, meist Stickstoff und Helium. Den O
2-Druck so schnell wie möglich zu erhöhen, ist Teil der Behandlung.",Sauerstoffkammern,Welches Gerät wird zur Behandlung verschiedener Erkrankungen wie etwa einer Kohlenmonoxidvergiftung eingesetzt?
"Die hyperbare (Hochdruck-) Medizin verwendet besondere Sauerstoffkammern, um den Partialdruck von O
2 in der Umgebung des Patienten und, falls nötig, der des medizinischen Personals zu erhöhen. Kohlenmonoxidvergiftungen, Gasbrände und die Dekompressionskrankheit werden manchmal mithilfe dieser Geräte behandelt. Eine erhöhte O
2-Konzentration in den Lungen hilft dabei, das Kohlenmonoxid von der Hämgruppe des Hämoglobin zu verdrängen. Sauerstoff-Gas ist für die anaeroben Bakterien, die Gasbrände verursachen, giftig, sodass eine Steigerung dessen Partialdrucks deren Beseitigung unterstützt. Die Dekompressionskrankheit tritt bei Tauchern auf, die nach einem Tauchgang zu schnell dekomprimieren, was zur Entstehung von Spülgasblasen in ihrem Blut führt, meist Stickstoff und Helium. Den O
2-Druck so schnell wie möglich zu erhöhen, ist Teil der Behandlung.",Kohlenmonoxid,Was wird durch eine erhöhte Sauerstoffkonzentration in der Lunge eines Patienten verdrängt?
"Die hyperbare (Hochdruck-) Medizin verwendet besondere Sauerstoffkammern, um den Partialdruck von O
2 in der Umgebung des Patienten und, falls nötig, der des medizinischen Personals zu erhöhen. Kohlenmonoxidvergiftungen, Gasbrände und die Dekompressionskrankheit werden manchmal mithilfe dieser Geräte behandelt. Eine erhöhte O
2-Konzentration in den Lungen hilft dabei, das Kohlenmonoxid von der Hämgruppe des Hämoglobin zu verdrängen. Sauerstoff-Gas ist für die anaeroben Bakterien, die Gasbrände verursachen, giftig, sodass eine Steigerung dessen Partialdrucks deren Beseitigung unterstützt. Die Dekompressionskrankheit tritt bei Tauchern auf, die nach einem Tauchgang zu schnell dekomprimieren, was zur Entstehung von Spülgasblasen in ihrem Blut führt, meist Stickstoff und Helium. Den O
2-Druck so schnell wie möglich zu erhöhen, ist Teil der Behandlung.",anaeroben Bakterien,"Für welchen Erreger, der Gasbrand verursacht, ist Sauerstoff giftig?"
"Die hyperbare (Hochdruck-) Medizin verwendet besondere Sauerstoffkammern, um den Partialdruck von O
2 in der Umgebung des Patienten und, falls nötig, der des medizinischen Personals zu erhöhen. Kohlenmonoxidvergiftungen, Gasbrände und die Dekompressionskrankheit werden manchmal mithilfe dieser Geräte behandelt. Eine erhöhte O
2-Konzentration in den Lungen hilft dabei, das Kohlenmonoxid von der Hämgruppe des Hämoglobin zu verdrängen. Sauerstoff-Gas ist für die anaeroben Bakterien, die Gasbrände verursachen, giftig, sodass eine Steigerung dessen Partialdrucks deren Beseitigung unterstützt. Die Dekompressionskrankheit tritt bei Tauchern auf, die nach einem Tauchgang zu schnell dekomprimieren, was zur Entstehung von Spülgasblasen in ihrem Blut führt, meist Stickstoff und Helium. Den O
2-Druck so schnell wie möglich zu erhöhen, ist Teil der Behandlung.",Dekompressionskrankheit,"Was passiert nach einen Tauchgang, bei dem ein Taucher zu schnell dekomprimiert?"
"Am 6. Oktober 1973 starteten Syrien und Ägypten mit der Unterstützung von anderen arabischen Staaten einen Überraschungsangriff auf Israel – am Jom Kippur. Diese Wiederaufnahme der Feindseligkeiten im arabisch-israelischen Konflikt löste zugrundeliegenden wirtschaftlichen Druck auf die Ölpreise aus. Zu dieser Zeit war Iran der zweitgrößte Öl-Exporteur der Welt und ein enger Verbündeter der USA. Wochen später erklärte der Schah von Iran in einem Interview: „Natürlich werden sie [die Ölpreise] steigen... Auf jeden Fall! Und wie!... Ihr [die westlichen Nationen] habt den Preis für den Weizen, den ihr uns verkauft, um 300 Prozent angehoben. Das gleiche gilt für Zucker und Zement... Ihr kauft unser Rohöl und verkauft es uns dann wieder an uns zurück, raffiniert zu Petrochemikalien, zum hundertfachen Preis, den ihr uns bezahlt habt... Da ist es nur gerecht, dass ihr ab jetzt mehr für Öl bezahlen sollt. Sagen wir zehn Mal so viel.“",6. Oktober 1973,Wann starteten Syrien und Ägypten einen Überraschungsangriff auf Israel?
"Am 6. Oktober 1973 starteten Syrien und Ägypten mit der Unterstützung von anderen arabischen Staaten einen Überraschungsangriff auf Israel – am Jom Kippur. Diese Wiederaufnahme der Feindseligkeiten im arabisch-israelischen Konflikt löste zugrundeliegenden wirtschaftlichen Druck auf die Ölpreise aus. Zu dieser Zeit war Iran der zweitgrößte Öl-Exporteur der Welt und ein enger Verbündeter der USA. Wochen später erklärte der Schah von Iran in einem Interview: „Natürlich werden sie [die Ölpreise] steigen... Auf jeden Fall! Und wie!... Ihr [die westlichen Nationen] habt den Preis für den Weizen, den ihr uns verkauft, um 300 Prozent angehoben. Das gleiche gilt für Zucker und Zement... Ihr kauft unser Rohöl und verkauft es uns dann wieder an uns zurück, raffiniert zu Petrochemikalien, zum hundertfachen Preis, den ihr uns bezahlt habt... Da ist es nur gerecht, dass ihr ab jetzt mehr für Öl bezahlen sollt. Sagen wir zehn Mal so viel.“",Iran,Wer war der zweitgrößte Öl-Produzent der Welt?
"Am 6. Oktober 1973 starteten Syrien und Ägypten mit der Unterstützung von anderen arabischen Staaten einen Überraschungsangriff auf Israel – am Jom Kippur. Diese Wiederaufnahme der Feindseligkeiten im arabisch-israelischen Konflikt löste zugrundeliegenden wirtschaftlichen Druck auf die Ölpreise aus. Zu dieser Zeit war Iran der zweitgrößte Öl-Exporteur der Welt und ein enger Verbündeter der USA. Wochen später erklärte der Schah von Iran in einem Interview: „Natürlich werden sie [die Ölpreise] steigen... Auf jeden Fall! Und wie!... Ihr [die westlichen Nationen] habt den Preis für den Weizen, den ihr uns verkauft, um 300 Prozent angehoben. Das gleiche gilt für Zucker und Zement... Ihr kauft unser Rohöl und verkauft es uns dann wieder an uns zurück, raffiniert zu Petrochemikalien, zum hundertfachen Preis, den ihr uns bezahlt habt... Da ist es nur gerecht, dass ihr ab jetzt mehr für Öl bezahlen sollt. Sagen wir zehn Mal so viel.“",zehn,Das Wievielfache mussten andere Saaten nach dem Überraschungsangriff für Öl bezahlen?
"Am 6. Oktober 1973 starteten Syrien und Ägypten mit der Unterstützung von anderen arabischen Staaten einen Überraschungsangriff auf Israel – am Jom Kippur. Diese Wiederaufnahme der Feindseligkeiten im arabisch-israelischen Konflikt löste zugrundeliegenden wirtschaftlichen Druck auf die Ölpreise aus. Zu dieser Zeit war Iran der zweitgrößte Öl-Exporteur der Welt und ein enger Verbündeter der USA. Wochen später erklärte der Schah von Iran in einem Interview: „Natürlich werden sie [die Ölpreise] steigen... Auf jeden Fall! Und wie!... Ihr [die westlichen Nationen] habt den Preis für den Weizen, den ihr uns verkauft, um 300 Prozent angehoben. Das gleiche gilt für Zucker und Zement... Ihr kauft unser Rohöl und verkauft es uns dann wieder an uns zurück, raffiniert zu Petrochemikalien, zum hundertfachen Preis, den ihr uns bezahlt habt... Da ist es nur gerecht, dass ihr ab jetzt mehr für Öl bezahlen sollt. Sagen wir zehn Mal so viel.“",Iran,Welcher Öl-Produzent ist ein enger Verbündeter der Vereinigten Staaten?
"Am 6. Oktober 1973 starteten Syrien und Ägypten mit der Unterstützung von anderen arabischen Staaten einen Überraschungsangriff auf Israel – am Jom Kippur. Diese Wiederaufnahme der Feindseligkeiten im arabisch-israelischen Konflikt löste zugrundeliegenden wirtschaftlichen Druck auf die Ölpreise aus. Zu dieser Zeit war Iran der zweitgrößte Öl-Exporteur der Welt und ein enger Verbündeter der USA. Wochen später erklärte der Schah von Iran in einem Interview: „Natürlich werden sie [die Ölpreise] steigen... Auf jeden Fall! Und wie!... Ihr [die westlichen Nationen] habt den Preis für den Weizen, den ihr uns verkauft, um 300 Prozent angehoben. Das gleiche gilt für Zucker und Zement... Ihr kauft unser Rohöl und verkauft es uns dann wieder an uns zurück, raffiniert zu Petrochemikalien, zum hundertfachen Preis, den ihr uns bezahlt habt... Da ist es nur gerecht, dass ihr ab jetzt mehr für Öl bezahlen sollt. Sagen wir zehn Mal so viel.“",Wiederaufnahme der Feindseligkeiten im arabisch-israelischen Konflikt,Warum hat der Schah von Iran ein Interview gegeben?
"Das Embargo hatte einen negativen Einfluss auf die US-Wirtschaft, indem es unmittelbare Forderungen als Reaktion auf die Bedrohung der Energiesicherheit der USA auslöste. Auf internationaler Ebene veränderten die Preisanstiege Wettbewerbsstellungen in vielen Branchen wie etwa der Autoindustrie. Die makroökonomischen Probleme bestanden sowohl in inflationären als auch deflationären Auswirkungen. Wegen des Embargos suchten Ölfirmen nach neuen Wegen zur Aufstockung der Ölvorräte, selbst in unwegsamen Gebieten wie der Arktis. Das Finden von Öl und die Entwicklung neuer Felder dauerte normalerweise fünf bis zehn Jahre, bevor eine nennenswerte Produktion erreicht wurde.",Das Embargo,Was hatte einen negativen Einfluss auf die US-Wirtschaft?
"Das Embargo hatte einen negativen Einfluss auf die US-Wirtschaft, indem es unmittelbare Forderungen als Reaktion auf die Bedrohung der Energiesicherheit der USA auslöste. Auf internationaler Ebene veränderten die Preisanstiege Wettbewerbsstellungen in vielen Branchen wie etwa der Autoindustrie. Die makroökonomischen Probleme bestanden sowohl in inflationären als auch deflationären Auswirkungen. Wegen des Embargos suchten Ölfirmen nach neuen Wegen zur Aufstockung der Ölvorräte, selbst in unwegsamen Gebieten wie der Arktis. Das Finden von Öl und die Entwicklung neuer Felder dauerte normalerweise fünf bis zehn Jahre, bevor eine nennenswerte Produktion erreicht wurde.",Autoindustrie,Die Wettbewerbsstellungen welcher Branchen wurden auf internationaler Ebene betroffen?
"Das Embargo hatte einen negativen Einfluss auf die US-Wirtschaft, indem es unmittelbare Forderungen als Reaktion auf die Bedrohung der Energiesicherheit der USA auslöste. Auf internationaler Ebene veränderten die Preisanstiege Wettbewerbsstellungen in vielen Branchen wie etwa der Autoindustrie. Die makroökonomischen Probleme bestanden sowohl in inflationären als auch deflationären Auswirkungen. Wegen des Embargos suchten Ölfirmen nach neuen Wegen zur Aufstockung der Ölvorräte, selbst in unwegsamen Gebieten wie der Arktis. Das Finden von Öl und die Entwicklung neuer Felder dauerte normalerweise fünf bis zehn Jahre, bevor eine nennenswerte Produktion erreicht wurde.",makroökonomischen,Welches Problem umfasste sowohl inflationäre als auch deflationäre Auswirkungen?
"Das Embargo hatte einen negativen Einfluss auf die US-Wirtschaft, indem es unmittelbare Forderungen als Reaktion auf die Bedrohung der Energiesicherheit der USA auslöste. Auf internationaler Ebene veränderten die Preisanstiege Wettbewerbsstellungen in vielen Branchen wie etwa der Autoindustrie. Die makroökonomischen Probleme bestanden sowohl in inflationären als auch deflationären Auswirkungen. Wegen des Embargos suchten Ölfirmen nach neuen Wegen zur Aufstockung der Ölvorräte, selbst in unwegsamen Gebieten wie der Arktis. Das Finden von Öl und die Entwicklung neuer Felder dauerte normalerweise fünf bis zehn Jahre, bevor eine nennenswerte Produktion erreicht wurde.",Arktis,Wegen der Ölkrise steigerten Ölfirmen ihre Ölvorräte in welchem Gebiet?
"Das Embargo hatte einen negativen Einfluss auf die US-Wirtschaft, indem es unmittelbare Forderungen als Reaktion auf die Bedrohung der Energiesicherheit der USA auslöste. Auf internationaler Ebene veränderten die Preisanstiege Wettbewerbsstellungen in vielen Branchen wie etwa der Autoindustrie. Die makroökonomischen Probleme bestanden sowohl in inflationären als auch deflationären Auswirkungen. Wegen des Embargos suchten Ölfirmen nach neuen Wegen zur Aufstockung der Ölvorräte, selbst in unwegsamen Gebieten wie der Arktis. Das Finden von Öl und die Entwicklung neuer Felder dauerte normalerweise fünf bis zehn Jahre, bevor eine nennenswerte Produktion erreicht wurde.",fünf bis zehn Jahre,"Wie lange dauert es, bis in neuen Gebieten eine nennenswerte Ölproduktion erreicht wird?"
"Im Jahr 1973 ernannte Nixon William E. Simon zum ersten Direktor des Federal Energy Office (Bundesamt für Energie), einer zeitlich befristeten Organisation, die geschaffen wurde, um die Reaktion auf das Embargo zu koordinieren. Simon teilte den Staaten für 1974 die gleiche Menge an inländischem Öl zu, die sie jeweils im Jahr 1972 verbraucht hatten. Das funktionierte für Staaten, deren Bevölkerung nicht wuchs. In anderen Staaten waren Schlangen an Tankstellen alltäglich. Die American Automobile Association (AAA, Automobilklub der USA) berichtete, dass in der letzten Februarwoche 1974 20 % der Tankstellen in den USA über kein Benzin verfügten.",William E. Simon,Wer war der erste Direktor des Federal Energy Office?
"Im Jahr 1973 ernannte Nixon William E. Simon zum ersten Direktor des Federal Energy Office (Bundesamt für Energie), einer zeitlich befristeten Organisation, die geschaffen wurde, um die Reaktion auf das Embargo zu koordinieren. Simon teilte den Staaten für 1974 die gleiche Menge an inländischem Öl zu, die sie jeweils im Jahr 1972 verbraucht hatten. Das funktionierte für Staaten, deren Bevölkerung nicht wuchs. In anderen Staaten waren Schlangen an Tankstellen alltäglich. Die American Automobile Association (AAA, Automobilklub der USA) berichtete, dass in der letzten Februarwoche 1974 20 % der Tankstellen in den USA über kein Benzin verfügten.",1973,Wann wurde er von Nixon ausgewählt?
"Im Jahr 1973 ernannte Nixon William E. Simon zum ersten Direktor des Federal Energy Office (Bundesamt für Energie), einer zeitlich befristeten Organisation, die geschaffen wurde, um die Reaktion auf das Embargo zu koordinieren. Simon teilte den Staaten für 1974 die gleiche Menge an inländischem Öl zu, die sie jeweils im Jahr 1972 verbraucht hatten. Das funktionierte für Staaten, deren Bevölkerung nicht wuchs. In anderen Staaten waren Schlangen an Tankstellen alltäglich. Die American Automobile Association (AAA, Automobilklub der USA) berichtete, dass in der letzten Februarwoche 1974 20 % der Tankstellen in den USA über kein Benzin verfügten.",20 %,Welchem Prozentsatz an Tankstellen ging der AAA zufolge das Benzin aus?
"Die Energiekrise führte zu vermehrtem Interesse an erneuerbaren Energien, Atomkraft und inländischen fossilen Brennstoffen. Es gibt Kritik daran, dass die amerikanische Energiepolitik seit der Krise von einem Krisendenken dominiert wurde, was zu teuren schnellen und kurzlebigen Lösungen geführt hat, die die Realitäten von Markt und Technologie ignorieren. Anstatt beständige Regeln zu bieten, die grundlegende Forschung unterstützen und gleichzeitig genügend Spielraum für Unternehmertum und Innovation lassen, haben Kongresse und Präsidenten immer wieder eine Politik unterstützt, die politisch sinnvolle Lösungen verspricht, deren Aussichten aber zweifelhaft sind.",Energiekrise,"Was war der Impulsgeber, der ein vermehrtes Interesse an erneuerbaren Ressourcen hervorgerufen hat?"
"Die Energiekrise führte zu vermehrtem Interesse an erneuerbaren Energien, Atomkraft und inländischen fossilen Brennstoffen. Es gibt Kritik daran, dass die amerikanische Energiepolitik seit der Krise von einem Krisendenken dominiert wurde, was zu teuren schnellen und kurzlebigen Lösungen geführt hat, die die Realitäten von Markt und Technologie ignorieren. Anstatt beständige Regeln zu bieten, die grundlegende Forschung unterstützen und gleichzeitig genügend Spielraum für Unternehmertum und Innovation lassen, haben Kongresse und Präsidenten immer wieder eine Politik unterstützt, die politisch sinnvolle Lösungen verspricht, deren Aussichten aber zweifelhaft sind.",Realitäten von Markt und Technologie,"Es herrscht Kritik daran, dass die Energiepolitik aus teuren schnellen Lösungen besteht, die welche Fakten ignorieren?"
